project_id,company_id,title,description,project_type,budget_min,budget_max,shooting_location,timeline_start,timeline_end,status
432f7490-6f92-454c-8704-a79a015e3e2b,cfd379fe-5bdc-4892-ad9d-bd22e47541a0,TVC Sữa Tươi Vinamilk 2025,Sản xuất TVC 30s cho dòng sữa tươi mới ra mắt,COMMERCIAL,20000000,59200000.0,Phú Quốc,2025-02-19,2025-04-09,IN_PROGRESS
fbbcbd3c-45b7-4b17-81ef-038880461c38,576e5780-4b3c-4a7c-ba10-2916f55b2bf4,MV Ca Sĩ Mới Debut,Quay MV cho ca sĩ mới ra mắt single đầu tay,MUSIC_VIDEO,20000000,56200000.0,Phú Quốc,2025-02-19,2025-05-06,IN_PROGRESS
88606799-36bf-4fc3-8468-f3c01676f3a3,cb15683a-468c-44e1-8400-8d0137ba872e,KOL Campaign Highlands Coffee,Chiến dịch KOL trên TikTok và Instagram cho dòng trà mới,KOL_CAMPAIGN,200000000,402200000.0,Hồ Chí Minh,2025-07-02,2025-09-15,IN_PROGRESS
b1d477c8-5e8a-4b7d-a27b-5ea8781b8c6f,135a0f28-a39f-437d-9843-d992b337fdcc,Event Launching Bitis Hunter X,Quay phim sự kiện ra mắt bộ sưu tập giày mới,EVENT,20000000,42000000.0,Hồ Chí Minh,2025-07-05,2025-08-02,COMPLETED
2b7c65f0-362e-4117-845a-1b0a210b14af,4d78221c-b371-44f8-addb-5d4df433fde3,TVC Thế Giới Di Động Tết,"TVC Tết 2025 - 60 giây, chủ đề sum vầy",COMMERCIAL,50000000,135800000.0,Đà Nẵng,2025-01-21,2025-02-23,OPEN
30d823cd-4c29-4f2e-80b6-a8a3f6fab74b,c133252d-1177-4f05-83c3-4def2ac04ea8,Documentary Phúc Long Heritage,Phim tài liệu về lịch sử thương hiệu Phúc Long,COMMERCIAL,500000000,1323300000.0,Phú Quốc,2025-04-07,2025-05-06,COMPLETED
bd82fe80-aa52-4a63-b1a8-1390f4531b77,0c6affa5-1feb-4f47-b79c-24b0ac50abcc,KOL Review CellphoneS,Chiến dịch review sản phẩm mới trên YouTube,KOL_CAMPAIGN,500000000,1035300000.0,Đà Lạt,2025-08-29,2025-10-10,IN_PROGRESS
6beb0647-951e-487b-8532-0c4396d535b7,34ee5216-6473-4782-9539-b5bc58869554,Brand Film Coolmate Sustainability,Phim ngắn về quy trình sản xuất bền vững,COMMERCIAL,100000000,235300000.0,Hồ Chí Minh,2025-08-17,2025-10-24,COMPLETED
4d6eedd8-5948-46b8-914e-1db5101ab818,bcc39c5a-3c03-4ac8-8b33-e895fb7181af,MV Collaboration Summer Hits,MV hợp tác nhiều nghệ sĩ cho mùa hè,MUSIC_VIDEO,50000000,94800000.0,Hồ Chí Minh,2025-02-08,2025-03-20,OPEN
e8f79c8c-165f-4b01-8e5e-ac9e520f74ed,5fc2a897-37c1-45ee-becb-5389b5eb7795,TVC FPT Shop Back to School,Quảng cáo mùa tựu trường cho FPT Shop,COMMERCIAL,500000000,806300000.0,Hồ Chí Minh,2025-04-04,2025-05-10,IN_PROGRESS
f3ce4524-9da0-4907-ae5f-0444cb8d32d3,676d11fe-ed03-4c17-b20b-e92bb29af065,KOL Livestream Sunhouse,Livestream bán hàng với KOL trên Facebook,KOL_CAMPAIGN,200000000,387400000.0,Hà Nội,2025-06-24,2025-09-22,IN_PROGRESS
da654600-0b0b-471b-a842-c0693ee33ad5,bc650c32-fc92-4259-bd61-75c0e75d7d4c,Event Film Tech Summit 2025,Ghi hình sự kiện công nghệ lớn nhất năm,EVENT,20000000,50600000.0,Đà Nẵng,2025-04-20,2025-07-01,COMPLETED
da5a58d8-f370-497e-ba5d-8ae41e03fa14,8a7a5c45-4d68-4419-8ee3-d176eea09b5b,TVC TH True Milk Organic,Quảng cáo dòng sữa organic mới,COMMERCIAL,200000000,334400000.0,Hà Nội,2025-08-18,2025-09-26,COMPLETED
63ba6330-66eb-4a42-a81f-1cf128dbacfb,73d28542-ed48-494b-a3f7-b53e37c53e8a,Short Film Bitis Walk the Talk,Phim ngắn truyền cảm hứng cho chiến dịch Bitis,COMMERCIAL,50000000,80400000.0,Hà Nội,2025-02-27,2025-04-16,IN_PROGRESS
b4e27c4b-b708-4312-bc4f-a90b437ccbc9,15ee69a2-bb5e-41df-831c-a97afdee9594,KOL Fashion Week Coverage,KOL coverage cho tuần lễ thời trang Việt Nam,KOL_CAMPAIGN,100000000,215900000.0,Đà Lạt,2025-08-20,2025-11-14,COMPLETED
4f371fa1-3ebb-4776-a0e0-66029e68b0f6,cfd379fe-5bdc-4892-ad9d-bd22e47541a0,Dự Án Bị Hủy - Budget Cut,Dự án bị hủy do cắt giảm ngân sách đột ngột.,COMMERCIAL,1000000000,2000000000.0,Hồ Chí Minh,2025-03-01,2025-06-01,CANCELLED
1fd7c1ef-f051-4229-a62d-44f4c5167796,576e5780-4b3c-4a7c-ba10-2916f55b2bf4,Draft Idea - Chưa Có Budget,"Ý tưởng mới, chưa được phê duyệt ngân sách.",KOL_CAMPAIGN,0,0.0,,,,DRAFT
5e7a047e-d822-457b-9136-ea555c574ace,34ee5216-6473-4782-9539-b5bc58869554,Mega Campaign - Tết 2026 Toàn Quốc,Chiến dịch Tết quy mô toàn quốc kết hợp TVC + KOL + Event.,COMMERCIAL,5000000000,10000000000.0,"Hồ Chí Minh, Hà Nội, Đà Nẵng",2025-10-01,2026-02-28,OPEN
